FileName	Description	Source	Category	SubCategory	Notes	Library	Keywords	Manufacturer	Designer	BWDescription	BWOriginator	BWOriginatorRef
"FALCON Saker Pair, Screech, Chirp 01.wav"	"SAKER FALCONS SCREECH CHIRP High-pitched cackling, rapid succession. Long, high-pitched screeches from second falcon."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"FALCON Saker Pair, Screech, Chirp 01"	BOOM Library		"SAKER FALCONS SCREECH CHIRP High-pitched cackling, rapid succession. Long, high-pitched screeches from second falcon."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"FALCON Saker Pair, Screech, Chirp 02.wav"	"SAKER FALCONS SCREECH CHIRP High-pitched cackling, rapid succession. Short, harsh chirps from second falcon. Agitated."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"FALCON Saker Pair, Screech, Chirp 02"	BOOM Library		"SAKER FALCONS SCREECH CHIRP High-pitched cackling, rapid succession. Short, harsh chirps from second falcon. Agitated."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"FALCON Saker Pair, Screech, Chirp 03.wav"	"SAKER FALCONS SCREECH CHIRP High-pitched cackling, rapid succession. Some short, harsh chirps. Long, high-pitched screeches from second falcon."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"FALCON Saker Pair, Screech, Chirp 03"	BOOM Library		"SAKER FALCONS SCREECH CHIRP High-pitched cackling, rapid succession. Some short, harsh chirps. Long, high-pitched screeches from second falcon."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"FALCON Saker Pair, Screech, Chirp 04.wav"	"SAKER FALCONS SCREECH CHIRP High-pitched cackling, rapid succession. Long, high-pitched screeches from second falcon."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"FALCON Saker Pair, Screech, Chirp 04"	BOOM Library		"SAKER FALCONS SCREECH CHIRP High-pitched cackling, rapid succession. Long, high-pitched screeches from second falcon."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"FALCON Saker, Beg.wav"	"SAKER FALCON BEG High-pitched, long screeches."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"FALCON Saker, Beg"	BOOM Library		"SAKER FALCON BEG High-pitched, long screeches."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"FALCON Saker, Beg, Low.wav"	"SAKER FALCON BEG Low pitch, intense screeches. Throaty, agitated. "	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"FALCON Saker, Beg, Low"	BOOM Library		"SAKER FALCON BEG Low pitch, intense screeches. Throaty, agitated. "	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"FALCON Saker, Screech, Chirp 01.wav"	"SAKER FALCON SCREECH CHIRP High-pitched, rapid cackling, very short screeches. Agitated."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"FALCON Saker, Screech, Chirp 01"	BOOM Library		"SAKER FALCON SCREECH CHIRP High-pitched, rapid cackling, very short screeches. Agitated."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"FALCON Saker, Screech, Chirp 02.wav"	"SAKER FALCON SCREECH CHIRP High-pitched, rapid cackling, very short screeches. Slightly agitated."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"FALCON Saker, Screech, Chirp 02"	BOOM Library		"SAKER FALCON SCREECH CHIRP High-pitched, rapid cackling, very short screeches. Slightly agitated."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"FALCON Saker, Screech, Chirp 03.wav"	"SAKER FALCON SCREECH CHIRP High-pitched, rapid cackling, very short screeches. Some throaty screeches. Slightly agitated."	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"FALCON Saker, Screech, Chirp 03"	BOOM Library		"SAKER FALCON SCREECH CHIRP High-pitched, rapid cackling, very short screeches. Some throaty screeches. Slightly agitated."	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
"FALCON Saker, Squawk, Low.wav"	SAKER FALCON SQUAWK Low pitch. Short squawks.	www.boomlibrary.com	Animals	Birds	All sound effects are copyright BOOM Library - all rights reserved	Birds Of Prey	"FALCON Saker, Squawk, Low"	BOOM Library		SAKER FALCON SQUAWK Low pitch. Short squawks.	? 2014 BOOM Library All Rights Reserved	www.boomlibrary.com
